"filename","year","month","volume"
"1931-April.txt","1931","April",NA
"1931-Aug.txt","1931","Aug",NA
"1931-Dec.txt","1931","Dec",NA
"1931-July.txt","1931","July",NA
"1931-June.txt","1931","June",NA
"1931-May.txt","1931","May",NA
"1931-Nov.txt","1931","Nov",NA
"1931-Oct.txt","1931","Oct",NA
"1931-Sept.txt","1931","Sept",NA
"1932-April.txt","1932","April",NA
"1932-Aug.txt","1932","Aug",NA
"1932-Dec.txt","1932","Dec",NA
"1932-Feb.txt","1932","Feb",NA
"1932-Jan.txt","1932","Jan",NA
"1932-July.txt","1932","July",NA
"1932-June.txt","1932","June",NA
"1932-March.txt","1932","March",NA
"1932-May.txt","1932","May",NA
"1932-Nov.txt","1932","Nov",NA
"1932-Oct.txt","1932","Oct",NA
"1932-Sept.txt","1932","Sept",NA
"1933-April.txt","1933","April",NA
"1933-Aug.txt","1933","Aug",NA
"1933-Dec.txt","1933","Dec",NA
"1933-Feb.txt","1933","Feb",NA
"1933-Jan.txt","1933","Jan",NA
"1933-July.txt","1933","July",NA
"1933-June.txt","1933","June",NA
"1933-March.txt","1933","March",NA
"1933-May.txt","1933","May",NA
"1933-Nov.txt","1933","Nov",NA
"1933-Oct.txt","1933","Oct",NA
"1933-Sept.txt","1933","Sept",NA
"1934-April-v28.txt","1934","April","v28"
"1934-August-v28.txt","1934","August","v28"
"1934-Dec-v28.txt","1934","Dec","v28"
"1934-Feb.txt","1934","Feb",NA
"1934-Jan.txt","1934","Jan",NA
"1934-July-v28.txt","1934","July","v28"
"1934-June-v28.txt","1934","June","v28"
"1934-March.txt","1934","March",NA
"1934-May-v28.txt","1934","May","v28"
"1934-Nov-v28.txt","1934","Nov","v28"
"1934-Oct-v28.txt","1934","Oct","v28"
"1934-Sept-v28.txt","1934","Sept","v28"
"1935-April.txt","1935","April",NA
"1935-Aug.txt","1935","Aug",NA
"1935-Dec.txt","1935","Dec",NA
"1935-Feb-v28.txt","1935","Feb","v28"
"1935-Jan-v28.txt","1935","Jan","v28"
"1935-July.txt","1935","July",NA
"1935-June.txt","1935","June",NA
"1935-March-v28.txt","1935","March","v28"
"1935-May.txt","1935","May",NA
"1935-Nov.txt","1935","Nov",NA
"1935-Oct.txt","1935","Oct",NA
"1935-Sept.txt","1935","Sept",NA
"1936-Feb.txt","1936","Feb",NA
